Timing Analysis: wokwi-logic.vcd
Total measurements: 4680

Time(s)    RPM   Delay(μs)  Delay(°)  Advance(°)  Mode
 11.93   1987    3203.1     38.2       8.8  SAME
 11.94   1987    3208.2     38.2       8.8  SAME
 11.96   1987    2948.1     35.1      11.9  SAME
 11.97   1987    3197.6     38.1       8.9  SAME
 11.99   1987    2948.2     35.1      11.9  SAME
 12.00   1987    3206.6     38.2       8.8  SAME
 12.02   1987    2948.2     35.1      11.9  SAME
 12.03   1987    3195.6     38.1       8.9  SAME
 12.05   1987    2948.1     35.1      11.9  SAME
 12.06   1987    3205.1     38.2       8.8  SAME
 12.08   1987    2948.1     35.1      11.9  SAME
 12.09   1987    3208.1     38.2       8.8  SAME
 12.11   1987    3199.2     38.1       8.9  SAME
 12.12   1987    2948.1     35.1      11.9  SAME
 12.14   1987    3208.6     38.2       8.8  SAME
 12.15   1987    2948.1     35.1      11.9  SAME
 12.17   1987    3197.6     38.1       8.9  SAME
 12.18   1987    2948.8     35.2      11.8  SAME
 12.20   1987    3206.6     38.2       8.8  SAME
 12.21   1987    2948.2     35.1      11.9  SAME
 12.23   1987    3196.1     38.1       8.9  SAME
 12.24   1987    2948.5     35.1      11.9  SAME
 12.26   1987    3205.7     38.2       8.8  SAME
 12.27   1987    2948.1     35.1      11.9  SAME
 12.29   1987    3208.1     38.2       8.8  SAME
 12.30   1987    3199.6     38.1       8.9  SAME
 12.32   1987    2948.1     35.1      11.9  SAME
 12.33   1987    3202.6     38.2       8.8  SAME
 12.35   1987    2948.6     35.1      11.9  SAME
 12.36   1987    3197.6     38.1       8.9  SAME
 12.38   1987    2948.2     35.1      11.9  SAME
 12.39   1987    3201.1     38.2       8.8  SAME
 12.41   1987    2948.2     35.1      11.9  SAME
 12.42   1987    3196.7     38.1       8.9  SAME
 12.44   1987    2948.1     35.1      11.9  SAME
 12.45   1987    3199.7     38.1       8.9  SAME
 12.47   1987    2948.1     35.1      11.9  SAME
 12.48   1987    3208.6     38.2       8.8  SAME
 12.50   1987    3213.8     38.3       8.7  SAME
 12.51   1987    2948.1     35.1      11.9  SAME
 12.53   1987    3202.6     38.2       8.8  SAME
 12.54   1987    2948.1     35.1      11.9  SAME
 12.56   1987    3212.4     38.3       8.7  SAME
 12.57   1987    2948.2     35.1      11.9  SAME
 12.59   1987    3201.7     38.2       8.8  SAME
 12.60   1987    2948.1     35.1      11.9  SAME
 12.62   1987    3210.7     38.3       8.7  SAME
 12.63   1987    2948.2     35.1      11.9  SAME
 12.65   1987    3199.6     38.1       8.9  SAME
 12.66   1987    2948.1     35.1      11.9  SAME
 12.68   1987    3209.2     38.3       8.7  SAME
 12.70   1987    3207.6     38.2       8.8  SAME
 12.71   1987    2948.1     35.1      11.9  SAME
 12.73   1987    3203.1     38.2       8.8  SAME
 12.74   1987    2948.1     35.1      11.9  SAME
 12.76   1987    3206.2     38.2       8.8  SAME
 12.77   1987    2948.5     35.1      11.9  SAME
 12.79   1987    3201.7     38.2       8.8  SAME
 12.80   1987    2948.8     35.2      11.8  SAME
 12.82   1987    3204.6     38.2       8.8  SAME
 12.83   1987    2948.2     35.1      11.9  SAME
 12.85   1987    3214.2     38.3       8.7  SAME
 12.86   1987    2948.1     35.1      11.9  SAME
 12.88   1987    3203.2     38.2       8.8  SAME
 12.89   1987    3208.1     38.2       8.8  SAME
 12.91   1987    2948.1     35.1      11.9  SAME
 12.92   1987    3197.1     38.1       8.9  SAME
 12.94   1987    2949.1     35.2      11.8  SAME
 12.95   1987    3206.7     38.2       8.8  SAME
 12.97   1987    2948.1     35.1      11.9  SAME
 12.98   1987    3195.6     38.1       8.9  SAME
 13.00   1987    2948.8     35.2      11.8  SAME
 13.01   1987    3204.8     38.2       8.8  SAME
 13.03   1987    2948.4     35.1      11.9  SAME
 13.04   1987    3208.2     38.2       8.8  SAME
 13.06   1987    2948.2     35.1      11.9  SAME
 13.07   1987    3203.1     38.2       8.8  SAME
 13.09   1987    3208.1     38.2       8.8  SAME
 13.10   1987    2948.1     35.1      11.9  SAME
 13.12   1987    3197.7     38.1       8.9  SAME
 13.13   1987    2949.1     35.2      11.8  SAME
 13.15   1987    3206.6     38.2       8.8  SAME
 13.16   1987    2948.1     35.1      11.9  SAME
 13.18   1987    3195.6     38.1       8.9  SAME
 13.19   1987    2952.5     35.2      11.8  SAME
 13.21   1987    3205.3     38.2       8.8  SAME
 13.22   1987    2948.4     35.1      11.9  SAME
 13.24   1987    3208.6     38.2       8.8  SAME
 13.25   1987    2948.1     35.1      11.9  SAME
 13.27   1987    3203.1     38.2       8.8  SAME
 13.28   1987    3202.7     38.2       8.8  SAME
 13.30   1987    2948.1     35.1      11.9  SAME
 13.31   1987    3197.6     38.1       8.9  SAME
 13.33   1987    2948.2     35.1      11.9  SAME
 13.34   1987    3200.6     38.2       8.8  SAME
 13.36   1987    2948.1     35.1      11.9  SAME
 13.37   1987    3196.2     38.1       8.9  SAME
 13.39   1987    2948.4     35.1      11.9  SAME
 13.40   1987    3199.6     38.1       8.9  SAME
 13.42   1987    2948.7     35.1      11.9  SAME
 13.44   1987    3208.1     38.2       8.8  SAME
 13.45   1987    2948.1     35.1      11.9  SAME
 13.47   1987    3197.7     38.1       8.9  SAME
 13.48   1987    3202.1     38.2       8.8  SAME
 13.50   1987    2948.6     35.1      11.9  SAME
 13.51   1987    3211.9     38.3       8.7  SAME
 13.53   1987    2948.2     35.1      11.9  SAME
 13.54   1987    3201.2     38.2       8.8  SAME
 13.56   1987    2948.1     35.1      11.9  SAME
 13.57   1987    3210.5     38.3       8.7  SAME
 13.59   1987    2948.6     35.1      11.9  SAME
 13.60   1987    3199.1     38.1       8.9  SAME
 13.62   1987    2948.1     35.1      11.9  SAME
 13.63   1987    3208.7     38.2       8.8  SAME
 13.65   1987    2948.1     35.1      11.9  SAME
 13.66   1987    3197.6     38.1       8.9  SAME
 13.68   1987    3202.6     38.2       8.8  SAME
 13.69   1987    2948.4     35.1      11.9  SAME
 13.71   1987    3206.1     38.2       8.8  SAME
 13.72   1987    2948.2     35.1      11.9  SAME
 13.74   1987    3215.2     38.3       8.7  SAME
 13.75   1987    2948.6     35.1      11.9  SAME
 13.77   1987    3204.7     38.2       8.8  SAME
 13.78   1987    2948.2     35.1      11.9  SAME
 13.80   1987    3213.6     38.3       8.7  SAME
 13.81   1987    2948.1     35.1      11.9  SAME
 13.83   1987    3203.2     38.2       8.8  SAME
 13.84   1987    3207.6     38.2       8.8  SAME
 13.86   1987    2948.1     35.1      11.9  SAME
 13.87   1987    3197.1     38.1       8.9  SAME
 13.89   1987    2948.1     35.1      11.9  SAME
 13.90   1987    3206.1     38.2       8.8  SAME
 13.92   1987    2948.1     35.1      11.9  SAME
 13.93   1987    3195.7     38.1       8.9  SAME
 13.95   1987    2948.6     35.1      11.9  SAME
 13.96   1987    3204.6     38.2       8.8  SAME
 13.98   1987    2948.3     35.1      11.9  SAME
 13.99   1987    3207.8     38.2       8.8  SAME
 14.01   1987    2948.1     35.1      11.9  SAME
 14.02   1987    3203.2     38.2       8.8  SAME
 14.04   1987    3208.1     38.2       8.8  SAME
 14.05   1987    2948.1     35.1      11.9  SAME
 14.07   1987    3197.1     38.1       8.9  SAME
 14.08   1987    2949.1     35.2      11.8  SAME
 14.10   1987    3206.7     38.2       8.8  SAME
 14.11   1987    2948.1     35.1      11.9  SAME
 14.13   1987    3195.6     38.1       8.9  SAME
 14.14   1987    2948.8     35.2      11.8  SAME
 14.16   1987    3208.7     38.2       8.8  SAME
 14.18   1987    2948.4     35.1      11.9  SAME
 14.19   1987    3208.2     38.2       8.8  SAME
 14.21   1987    2948.1     35.1      11.9  SAME
 14.22   1987    3203.5     38.2       8.8  SAME
 14.24   1987    3202.1     38.2       8.8  SAME
 14.25   1987    2948.1     35.1      11.9  SAME
 14.27   1987    3197.7     38.1       8.9  SAME
 14.28   1987    2949.1     35.2      11.8  SAME
 14.30   1987    3200.6     38.2       8.8  SAME
 14.31   1987    2948.1     35.1      11.9  SAME
 14.33   1987    3195.6     38.1       8.9  SAME
 14.34   1987    2948.4     35.1      11.9  SAME
 14.36   1987    3199.2     38.1       8.9  SAME
 14.37   1987    2948.4     35.1      11.9  SAME
