time_seconds,D0,D1,D2
12.074554,1,0,1
12.074554,1,0,0
12.097900,0,0,0
12.101000,1,0,0
12.101826,1,1,0
12.101827,1,1,1
12.104828,1,0,1
12.104828,1,0,0
12.128300,0,0,0
12.131300,1,0,0
12.132249,1,1,0
12.132249,1,1,1
12.135251,1,0,1
12.135251,1,0,0
12.158500,0,0,0
12.161500,1,0,0
12.162400,1,1,0
12.162400,1,1,1
12.165401,1,0,1
12.165401,1,0,0
12.188600,0,0,0
12.191600,1,0,0
12.192474,1,1,0
12.192474,1,1,1
12.195476,1,0,1
12.195476,1,0,0
12.218700,0,0,0
12.221600,1,0,0
12.222572,1,1,0
12.222572,1,1,1
12.225574,1,0,1
12.225574,1,0,0
12.248600,0,0,0
12.251600,1,0,0
12.252424,1,1,0
12.252424,1,1,1
12.255425,1,0,1
12.255425,1,0,0
12.278500,0,0,0
12.281500,1,0,0
12.282321,1,1,0
12.282321,1,1,1
12.285322,1,0,1
12.285322,1,0,0
12.308300,0,0,0
12.311300,1,0,0
12.312095,1,1,0
12.312095,1,1,1
12.315096,1,0,1
12.315096,1,0,0
12.338100,0,0,0
12.341000,1,0,0
12.341893,1,1,0
12.341893,1,1,1
12.344894,1,0,1
12.344894,1,0,0
12.367700,0,0,0
12.370700,1,0,0
12.371444,1,1,0
12.371444,1,1,1
12.374446,1,0,1
12.374446,1,0,0
12.397300,0,0,0
12.400300,1,0,0
12.401043,1,1,0
12.401043,1,1,1
12.404044,1,0,1
12.404044,1,0,0
12.426900,0,0,0
12.429800,1,0,0
12.430640,1,1,0
12.430640,1,1,1
12.433642,1,0,1
12.433642,1,0,0
12.456300,0,0,0
12.459200,1,0,0
12.459991,1,1,0
12.459992,1,1,1
12.462993,1,0,1
12.462993,1,0,0
12.485600,0,0,0
12.488600,1,0,0
12.489266,1,1,0
12.489267,1,1,1
12.492267,1,0,1
12.492268,1,0,0
12.515000,0,0,0
12.517900,1,0,0
12.518686,1,1,0
12.518687,1,1,1
12.521688,1,0,1
12.521688,1,0,0
12.544200,0,0,0
12.547100,1,0,0
12.547838,1,1,0
12.547839,1,1,1
12.550840,1,0,1
12.550840,1,0,0
12.573400,0,0,0
12.576300,1,0,0
12.577037,1,1,0
12.577037,1,1,1
12.580038,1,0,1
12.580038,1,0,0
12.602500,0,0,0
12.605400,1,0,0
12.606112,1,1,0
12.606112,1,1,1
12.609114,1,0,1
12.609114,1,0,0
12.631500,0,0,0
12.634400,1,0,0
12.635086,1,1,0
12.635086,1,1,1
12.638087,1,0,1
12.638087,1,0,0
12.660500,0,0,0
12.663300,1,0,0
12.664084,1,1,0
